      2 ?        S      0:00 [kthreadd]
   2247 ?        Sl     0:00  |       \_ /usr/libexec/ibus-extension-gtk3
   2462 ?        Sl     0:00  |       \_ /usr/libexec/ibus-engine-simple
   2249 ?        Sl     0:00  \_ /usr/libexec/ibus-x11 --kill-daemon
   2252 ?        Sl     0:00  \_ /usr/libexec/ibus-portal
   2264 ?        Sl     0:00  \_ /usr/libexec/at-spi2-registryd --use-gnome-session
   2268 ?        Ssl    0:00  \_ /usr/libexec/xdg-permission-store
   2270 ?        Sl     0:00  \_ /usr/libexec/gnome-shell-calendar-server
   2279 ?        Ssl    0:00  \_ /usr/libexec/evolution-source-registry
   2288 ?        Ssl    0:00  \_ /usr/libexec/evolution-calendar-factory
   2292 ?        Sl     0:00  \_ /usr/libexec/dconf-service
   2301 ?        Ssl    0:00  \_ /usr/libexec/evolution-addressbook-factory
   2318 ?        Sl     0:00  \_ /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
   2342 ?        Ssl    0:00  \_ /usr/libexec/gsd-a11y-settings
   2343 ?        Ssl    0:00  \_ /usr/libexec/gsd-color
   2344 ?        Ssl    0:00  \_ /usr/libexec/gsd-datetime
   2345 ?        Ssl    0:00  \_ /usr/libexec/gsd-housekeeping
   2347 ?        Ssl    0:00  \_ /usr/libexec/gsd-keyboard
   2348 ?        Ssl    0:00  \_ /usr/libexec/gsd-media-keys
   2351 ?        Ssl    0:00  \_ /usr/libexec/gsd-power
   2356 ?        Ssl    0:00  \_ /usr/libexec/gsd-print-notifications
   2358 ?        Ssl    0:00  \_ /usr/libexec/gsd-rfkill
   2360 ?        Ssl    0:00  \_ /usr/libexec/gsd-screensaver-proxy
   2365 ?        Ssl    0:00  \_ /usr/libexec/gsd-sharing
   2366 ?        Ssl    0:00  \_ /usr/libexec/gsd-smartcard
   2369 ?        Ssl    0:00  \_ /usr/libexec/gsd-sound
   2372 ?        Ssl    0:00  \_ /usr/libexec/gsd-usb-protection
   2379 ?        Ssl    0:00  \_ /usr/libexec/gsd-wacom
   2381 ?        Ssl    0:00  \_ /usr/libexec/gsd-wwan
   2385 ?        Ssl    0:00  \_ /usr/libexec/gsd-xsettings
   2461 ?        Sl     0:04  \_ /snap/snap-store/638/usr/bin/snap-store --gapplication-service
   2466 ?        Sl     0:00  \_ /usr/libexec/gsd-printer
   2507 ?        Ssl    0:00  \_ /usr/libexec/xdg-document-portal
   2626 ?        Ssl    0:00  \_ /usr/libexec/xdg-desktop-portal
   2630 ?        Ssl    0:00  \_ /usr/libexec/xdg-desktop-portal-gtk
   3320 ?        Ssl    0:00  \_ /usr/libexec/gvfsd-metadata
   3634 ?        Sl     0:05  \_ /usr/bin/nautilus --gapplication-service
   3652 ?        Sl     0:00  \_ /usr/lib/libreoffice/program/oosplash --writer file:///home/lendor/lb3/Lutsenko_lb3.odt
   3667 ?        Sl     0:13  |   \_ /usr/lib/libreoffice/program/soffice.bin --writer file:///home/lendor/lb3/Lutsenko_lb3.odt
   3728 ?        Sl     0:24  \_ evince /home/lendor/lb3/Ос3?аба.pdf
   3733 ?        Sl     0:00  \_ /usr/libexec/evinced
   3763 ?        Ssl    0:09  \_ /usr/libexec/gnome-terminal-server
   3771 pts/0    Ss+    0:00  |   \_ bash
   4828 pts/0    S      0:00  |       \_ sudo ./thread
   4829 pts/0    S      0:00  |           \_ ./thread
   4830 pts/0    S      0:00  |               \_ sh -c ps axhf > file.txt
   4831 pts/0    R      0:00  |                   \_ ps axhf
   3905 ?        SLl    0:11  \_ /opt/google/chrome/chrome --enable-crashpad
   3911 ?        S      0:00  |   \_ cat
   3912 ?        S      0:00  |   \_ cat
   3922 ?        S      0:00  |   \_ /opt/google/chrome/chrome --type=zygote --no-zygote-sandbox --enable-crashpad --crashpad-handler-pid=3914 --enable-crash-reporter=1ff0a3ac-aed0-4443-8f47-3501cb01d0fc, --change-stack-guard-on-fork=enable --enable-crashpad
